date,product_id,transaction_type,quantity,ending_inventory,order_id,unit_cost,transaction_value
2023-03-31,CLO-001,consumption,-360.0,20761.0,,6.0,2160.0
2023-03-31,CLO-002,consumption,-286.0,11789.0,,18.0,5148.0
2023-03-31,CLO-003,consumption,-299.0,12618.0,,30.0,8970.0
2023-03-31,ELE-001,consumption,-339.0,15559.0,,180.0,61020.0
2023-03-31,ELE-002,consumption,-349.0,12915.0,,480.0,167520.0
2023-03-31,ELE-003,consumption,-372.0,20129.0,,30.0,11160.0
2023-03-31,FOO-001,consumption,-364.0,11828.0,,3.0,1092.0
2023-03-31,FOO-002,consumption,-264.0,12654.0,,1.2,316.8
2023-03-31,FOO-003,consumption,-260.0,12361.0,,4.8,1248.0
2023-03-31,HOM-001,consumption,-328.0,15152.0,,12.0,3936.0
2023-03-31,HOM-002,consumption,-378.0,15092.0,,18.0,6804.0
2023-03-31,HOM-003,consumption,-341.0,14942.0,,60.0,20460.0
2023-03-31,TOY-001,consumption,-322.0,14580.0,,9.0,2898.0
2023-03-31,TOY-002,consumption,-336.0,13913.0,,6.0,2016.0
2023-03-31,TOY-003,consumption,-356.0,16773.0,,12.0,4272.0
2023-04-01,CLO-001,consumption,-551.0,20210.0,,6.0,3306.0
2023-04-01,CLO-002,consumption,-477.0,11312.0,,18.0,8586.0
2023-04-01,CLO-003,consumption,-433.0,12185.0,,30.0,12990.0
2023-04-01,ELE-001,consumption,-549.0,15010.0,,180.0,98820.0
2023-04-01,ELE-002,consumption,-561.0,12354.0,,480.0,269280.0
2023-04-01,ELE-002,order,16257.0,12354.0,ORD-ELE-002-20230401,480.0,7803360.0
2023-04-01,ELE-003,consumption,-557.0,19572.0,,30.0,16710.0
2023-04-01,FOO-001,consumption,-581.0,11247.0,,3.0,1743.0
2023-04-01,FOO-002,consumption,-411.0,12243.0,,1.2,493.2
2023-04-01,FOO-003,consumption,-435.0,11926.0,,4.8,2088.0
2023-04-01,FOO-003,order,10259.0,11926.0,ORD-FOO-003-20230401,4.8,49243.2
2023-04-01,HOM-001,consumption,-531.0,14621.0,,12.0,6372.0
2023-04-01,HOM-002,consumption,-603.0,14489.0,,18.0,10854.0
2023-04-01,HOM-003,consumption,-503.0,14439.0,,60.0,30180.0
2023-04-01,TOY-001,consumption,-476.0,14104.0,,9.0,4284.0
2023-04-01,TOY-002,consumption,-536.0,13377.0,,6.0,3216.0
2023-04-01,TOY-003,consumption,-549.0,16224.0,,12.0,6588.0
2023-04-02,CLO-001,consumption,-585.0,19625.0,,6.0,3510.0
2023-04-02,CLO-002,consumption,-472.0,10840.0,,18.0,8496.0
2023-04-02,CLO-003,consumption,-448.0,11737.0,,30.0,13440.0
2023-04-02,CLO-003,order,11111.0,11737.0,ORD-CLO-003-20230402,30.0,333330.0
